Date,Tournament,Rd,Rival,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt,W_or_L
2025,Miami Masters,F,Mensik,39,20,2.0,25.7%,13.2%,32,19,1.7,24.8%,14.7%,9.3%,5.4%,2.0,32.9%,16.4%,L
2025,Miami Masters,SF,Dimitrov,9,4,2.3,10.2%,4.5%,4,3,1.3,5.3%,3.9%,5.3%,0.0%,0.6,15.9%,28.4%,W
2025,Miami Masters,QF,Korda,20,7,2.9,17.4%,6.1%,9,7,1.3,9.3%,7.2%,7.2%,2.1%,1.4,16.5%,12.2%,W
2025,Miami Masters,R16,Musetti,17,15,1.1,16.7%,14.7%,16,14,1.1,16.7%,14.6%,10.4%,6.3%,0.6,9.8%,16.7%,W
2025,Miami Masters,R64,Hijikata,30,14,2.1,26.8%,12.5%,21,13,1.6,21.2%,13.1%,8.1%,5.1%,1.2,23.2%,19.6%,W
2025,Indian Wells Masters,R64,Van De Zandschulp,17,35,0.5,11.0%,22.6%,17,32,0.5,11.8%,22.2%,9.0%,2.1%,1.0,16.1%,15.5%,L
2025,Doha,R32,Berrettini,27,14,1.9,21.1%,10.9%,18,13,1.4,17.3%,12.5%,8.7%,2.9%,3.2,37.5%,11.7%,L
2025,Australian Open,SF,Zverev,21,18,1.2,22.8%,19.6%,16,18,0.9,20.5%,23.1%,5.1%,2.6%,1.9,31.5%,16.3%,L
2025,Australian Open,QF,Alcaraz,28,30,0.9,10.7%,11.5%,23,27,0.9,9.7%,11.3%,5.5%,4.2%,1.1,18.8%,17.6%,W
2025,Australian Open,R16,Lehecka,25,16,1.6,12.6%,8.1%,16,13,1.2,9.4%,7.6%,7.6%,1.8%,1.0,18.7%,18.2%,W
2025,Australian Open,R32,Machac,26,19,1.4,15.7%,11.4%,17,15,1.1,11.8%,10.4%,7.6%,4.2%,0.8,14.5%,17.5%,W
2025,Australian Open,R128,Basavareddy,49,32,1.5,20.9%,13.6%,26,28,0.9,13.3%,14.3%,8.7%,4.6%,0.9,13.2%,14.5%,W
2025,Brisbane,QF,Opelka,29,15,1.9,21.2%,10.9%,21,14,1.5,18.9%,12.6%,4.5%,1.8%,1.8,39.4%,21.9%,L
2025,Brisbane,R16,Monfils,23,15,1.5,23.0%,15.0%,18,14,1.3,20.9%,16.3%,4.7%,5.8%,0.8,22.0%,27.0%,W
2025,Brisbane,R32,Hijikata,26,9,2.9,25.7%,8.9%,14,9,1.6,17.3%,11.1%,7.4%,9.9%,1.2,14.9%,12.9%,W
2024,Shanghai Masters,F,Sinner,33,18,1.8,26.4%,14.4%,29,18,1.6,25.7%,15.9%,7.1%,2.7%,1.9,26.4%,13.6%,L
2024,Shanghai Masters,SF,Fritz,26,14,1.9,16.8%,9.0%,19,14,1.4,13.9%,10.2%,5.8%,8.0%,1.0,13.5%,14.2%,W
2024,Shanghai Masters,QF,Mensik,25,25,1.0,13.1%,13.1%,19,24,0.8,11.9%,15.0%,8.1%,2.5%,0.9,19.4%,22.5%,W
2024,Shanghai Masters,R16,Safiullin,34,11,3.1,36.2%,11.7%,29,10,2.9,34.5%,11.9%,13.1%,6.0%,1.4,24.5%,17.0%,W
2024,Shanghai Masters,R32,Cobolli,27,15,1.8,28.4%,15.8%,24,13,1.8,27.9%,15.1%,16.3%,7.0%,0.6,15.8%,26.3%,W
2024,US Open,R32,Popyrin,40,49,0.8,15.6%,19.1%,24,35,0.7,11.7%,17.0%,5.3%,5.8%,1.0,19.5%,19.5%,L
2024,US Open,R64,Djere,18,26,0.7,11.1%,16.0%,15,18,0.8,10.8%,12.9%,5.8%,3.6%,0.8,18.5%,24.7%,W
